,Row ID,System Name,Host Name,Number of Planets,Stellar Parameter Reference,Stellar Effective Temperature [K],Stellar Mass [Solar mass],Stellar Metallicity [dex],Stellar Metallicity Ratio
1,7,11 Com,11 Com,1,TICv8,4675.18000±9.23077,  ,-0.51±0.02,[M/H]
1,13,11 UMi,11 UMi,1,TICv8,4263.7700±30.8989,  ,-0.08692310±0.03328200,[M/H]
1,17,14 And,14 And,1,TICv8,4689.46000±7.52297,  ,-0.2979020±0.0176568,[M/H]
1,31,14 Her,14 Her,2,TICv8,5280.000+163.206-128.171,0.9100000+0.1376220-0.0875640,0.4±0.1,[M/H]
1,51,16 Cyg,HIP 96895,1,TICv8,5778.000+123.407-105.281,1.040000+0.129694-0.114823,0.090±0.100,[M/H]
1,59,16 Cyg,16 Cyg B,1,TICv8,5747.000+143.256-142.796,1.030000+0.148362-0.116303,0.060±0.100,[M/H]
1,83,17 Sco,17 Sco,1,TICv8,4364.0600±57.4823,  ,0.0247835±0.0082040,[M/H]
1,90,18 Del,18 Del,1,TICv8,5074.86000±9.40089,  ,0.09695040±0.01684300,[M/H]
1,99,24 Boo,24 Boo,1,TICv8,5025.7800±24.7354,  ,-0.6155170±0.0557086,[M/H]
1,143,4 UMa,4 UMa,1,TICv8,4482.90000±8.51742,  ,-0.1997960±0.0196774,[M/H]
1,169,47 UMa,47 UMa,3,TICv8,5872.0000+92.9376-113.5250,1.060000+0.128402-0.137608,0.040±0.100,[M/H]
1,182,51 Peg,51 Peg,1,TICv8,5758.000+101.623-119.624,1.0300000+0.1666990-0.0854185,0.18±0.10,[M/H]
1,239,55 Cnc,55 Cnc,7,TICv8,5250.000+123.300-171.847,0.9000000+0.1400420-0.0899928,0.35±0.10,[M/H]
1,251,6 Lyn,6 Lyn,1,TICv8,4938.0±25.0,  ,-0.010±0.100,[M/H]
1,280,61 Vir,61 Vir,3,TICv8,5562.000+109.027-108.159,0.9800000+0.1369790-0.1053110,-0.030±0.100,[M/H]
1,287,7 CMa,7 CMa,2,TICv8,4794.5200±24.1018,  ,0.08823530±0.02572480,[M/H]
1,309,70 Vir,70 Vir,1,TICv8,5495.0000+85.8012-139.3860,0.9600000+0.1652370-0.0909400,-0.070±0.100,[M/H]
1,317,75 Cet,75 Cet,2,TICv8,4827.32000±7.57633,  ,0.0328851±0.0347621,[M/H]
1,330,81 Cet,81 Cet,1,TICv8,4844.29000±6.49938,  ,0.00440220±0.02034550,[M/H]
1,345,91 Aqr,91 Aqr,1,TICv8,4658.92000±4.78695,  ,-0.0164009±0.0281867,[M/H]
1,362,AF Lep,AF Lep,1,TICv8,6409.3700+94.6689-104.1970,1.290000+0.245779-0.161670,0.29±0.03,[M/H]
1,390,BD+03 2562,BD+03 2562,1,TICv8,4095.0±20.0,  ,-0.71±0.09,[M/H]
1,396,BD+14 4559,BD+14 4559,1,TICv8,4864.00+134.05-146.12,0.7900000+0.0934848-0.0935058,0.17±0.06,[M/H]
1,402,BD+15 2375,BD+15 2375,1,TICv8,4649.0±10.0,  ,-0.22±0.08,[M/H]
1,405,BD+15 2940,BD+15 2940,1,TICv8,4796.0±13.0,  ,-0.28±0.07,[M/H]
1,410,BD+20 2457,BD+20 2457,2,TICv8,4181.98000±7.92624,  ,-0.8058490±0.0192305,[M/H]
1,412,BD+20 274,BD+20 274,1,TICv8,4296.0±10.0,  ,-0.46±0.05,[M/H]
1,415,BD+20 594,BD+20 594,1,TICv8,5651.760+111.924-126.674,1.0030000+0.1593140-0.0834095,-0.175±0.058,[M/H]
1,425,BD+45 564,BD+45 564,1,TICv8,5087.090+108.070-104.662,0.8500000+0.0914532-0.1185260,0.0900±0.0210,[M/H]
1,427,BD+48 738,BD+48 738,1,TICv8,4435.0000±13.4164,  ,-0.2369810±0.0192305,[M/H]
1,431,BD+48 740,BD+48 740,1,TICv8,4534.0±8.0,  ,-0.13±0.06,[M/H]
1,435,BD+49 828,BD+49 828,1,TICv8,4943.0±10.0,  ,-0.19±0.06,[M/H]
1,452,BD-08 2823,BD-08 2823,2,TICv8,4816.0000+91.2491-123.5580,0.7800000+0.1016130-0.0855051,-0.060±0.080,[M/H]
1,458,BD-10 3166,BD-10 3166,1,TICv8,5314.0000+87.1198-128.8470,0.9200000+0.1124630-0.1038760,0.31±0.10,[M/H]
1,471,BD-13 2130,BD-13 2130,1,TICv8,4717.5200±18.1818,  ,-0.0358944±0.0284187,[M/H]
1,475,BD-14 3065,BD-14 3065 A,1,TICv8,6736.880+107.514-107.435,1.440000+0.310315-0.187697,-0.2090000±0.0438178,[M/H]
1,480,BD-17 63,BD-17 63,1,TICv8,4665.0000+96.1273-148.8130,0.7400000+0.0893694-0.0839227,0.010±0.100,[M/H]
1,496,BEBOP-4,BEBOP-4 A,1,TICv8,5701.430+124.068-112.233,1.0200000+0.1589570-0.0914083,0.2615460±0.0123429,[M/H]
1,523,CoRoT-1,CoRoT-1,1,TICv8,6355.0700±38.1212,1.26,0.0656466±0.0300576,[M/H]
1,532,CoRoT-10,CoRoT-10,1,TICv8,5025.0±155.0,0.84,0.060±0.090,[M/H]
1,538,CoRoT-11,CoRoT-11,1,TICv8,6343.0000+124.8780-98.3343,1.260000+0.241227-0.139734,0.04±0.03,[M/H]
1,552,CoRoT-12,CoRoT-12,1,TICv8,5715.0±208.0,1.02,0.17±0.14,[M/H]
1,594,CoRoT-2,CoRoT-2,1,TICv8,5529.0000+121.4320-89.6022,0.97200000+0.14067700-0.09675250,-0.040±0.100,[M/H]
1,648,CoRoT-3,CoRoT-3,1,TICv8,6558.0000+121.4140-86.9416,1.360000+0.261734-0.185749,0.14±0.04,[M/H]
1,681,CoRoT-5,CoRoT-5,1,TICv8,6240.0±70.0,1.21,0.04±0.05,[M/H]
1,694,CoRoT-7,CoRoT-7,3,TICv8,5256.0000+91.3346-130.8500,0.8990000+0.1224620-0.0952405,0.060±0.100,[M/H]
1,699,CoRoT-8,CoRoT-8,1,TICv8,5143.0±178.0,0.868,0.22±0.11,[M/H]
1,705,CoRoT-9,CoRoT-9,1,TICv8,5613.0000+126.4440-81.8644,0.9930000+0.1156800-0.1246020,-0.02±0.03,[M/H]
1,738,DMPP-4,DMPP-4,1,TICv8,6275.110+137.612-68.373,1.220000+0.200206-0.143939,-0.03±0.07,[M/H]
